Country,Coverage
AUS,77.35106382978724
AUT,77.04255319148936
BEL,73.15957446808511
BGR,74.52127659574468
CYP,75.2127659574468
CZE,73.84042553191489
DEU,74.75531914893617
DNK,75.42553191489361
ESP,74.94680851063829
EST,77.2127659574468
FIN,73.09574468085107
FRA,76.03191489361703
GRC,72.77659574468085
HRV,74.65957446808511
HUN,76.30851063829788
IRL,75.77659574468085
ISR,75.18085106382979
ITA,76.36170212765957
LTU,73.72340425531915
LUX,76.04301075268818
LVA,74.62765957446808
MAR,77.23404255319149
MLT,73.73404255319149
NLD,76.26595744680851
POL,74.42553191489361
PRT,74.27659574468085
ROU,74.25531914893617
SVK,74.74468085106383
SVN,76.53191489361703
SWE,75.84042553191489
ZAF,73.55319148936171
